rising_edge_ns,falling_edge_ns
1771359975999980000,1771359976499980000
1771359976999980000,1771359977199980000
1771359977999980000,1771359978199980000
1771359978999981000,1771359979799981000
1771359979999981000,1771359980199981000
1771359980999980000,1771359981199980000
1771359981999980000,1771359982199980000
1771359982999980000,1771359983199980000
1771359983999981000,1771359984199981000
1771359984999981000,1771359985199981000
1771359985999981000,1771359986499981000
1771359986999980000,1771359987199980000
1771359987999980000,1771359988199980000
1771359988999980000,1771359989799980000
1771359989999980000,1771359990199980000
1771359990999981000,1771359991199981000
1771359991999981000,1771359992199981000
1771359992999980000,1771359993499980000
1771359993999981000,1771359994199981000
1771359994999980000,1771359995199980000
1771359995999980000,1771359996199980000
1771359996999980000,1771359997499980000
1771359997999980000,1771359998199980000
1771359998999980000,1771359999799980000
1771359999999982000,1771360000199982000
1771360000999980000,1771360001199980000
1771360001999980000,1771360002199980000
1771360002999980000,1771360003199980000
1771360003999981000,1771360004199981000
1771360004999980000,1771360005199980000
1771360005999981000,1771360006199981000
1771360006999981000,1771360007199981000
1771360007999980000,1771360008199980000
1771360008999980000,1771360009799980000
1771360009999980000,1771360010199980000
1771360010999980000,1771360011499980000
1771360011999980000,1771360012499980000
1771360012999981000,1771360013199981000
1771360013999980000,1771360014199980000
1771360014999981000,1771360015199981000
1771360015999982000,1771360016499982000
1771360016999981000,1771360017199981000
1771360017999980000,1771360018199980000
1771360018999980000,1771360019799980000
1771360019999980000,1771360020799980000
1771360020999980000,1771360021199980000
1771360021999980000,1771360022199980000
1771360022999980000,1771360023199980000
1771360023999981000,1771360024199981000
1771360024999981000,1771360025199981000
1771360025999981000,1771360026199981000
1771360026999981000,1771360027199981000
1771360027999981000,1771360028199981000
1771360028999980000,1771360029799980000
1771360029999980000,1771360030499980000
1771360030999980000,1771360031499980000
1771360031999980000,1771360032499980000
1771360032999980000,1771360033199980000
1771360033999980000,1771360034199980000
1771360034999980000,1771360035199980000
1771360035999980000,1771360036499980000
1771360036999993000,1771360037199993000
1771360037999980000,1771360038199980000
1771360038999980000,1771360039799980000
1771360039999981000,1771360040199981000
1771360040999980000,1771360041199980000
1771360041999981000,1771360042199981000
1771360042999981000,1771360043199981000
1771360043999981000,1771360044199981000
1771360044999982000,1771360045199982000
1771360045999982000,1771360046499982000
1771360047000330000,1771360047200330000
1771360047999980000,1771360048199980000
1771360048999980000,1771360049799980000
1771360049999980000,1771360050199980000
1771360050999980000,1771360051199980000
1771360051999980000,1771360052200080000
1771360052999981000,1771360053499981000
1771360053999980000,1771360054199980000
1771360054999980000,1771360055199980000
1771360055999981000,1771360056199981000
1771360056999980000,1771360057499980000
1771360057999982000,1771360058199982000
1771360058999980000,1771360059799980000
1771360059999980000,1771360060199980000
1771360060999981000,1771360061199981000
1771360061999980000,1771360062199980000
1771360062999980000,1771360063199980000
1771360063999981000,1771360064199981000
1771360064999980000,1771360065199980000
1771360065999980000,1771360066199980000
1771360066999980000,1771360067199980000
1771360067999980000,1771360068199980000
1771360069001858000,1771360069801858000
1771360070017137000,1771360070217137000
1771360070999980000,1771360071499980000
1771360071999980000,1771360072499980000
1771360072999980000,1771360073199980000
1771360073999981000,1771360074199981000
1771360074999980000,1771360075199980000
1771360075999980000,1771360076499980000
1771360076999980000,1771360077199980000
1771360077999980000,1771360078199980000
1771360079001952000,1771360079805272000
1771360079999982000,1771360080799982000
1771360080999980000,1771360081199980000
1771360081999980000,1771360082200012000
1771360082999980000,1771360083201042000
1771360084000397000,1771360084200397000
1771360084999980000,1771360085200224000
1771360085999980000,1771360086200028000
1771360087002143000,1771360087202143000
1771360087999980000,1771360088199980000
1771360088999980000,1771360089799980000
1771360089999980000,1771360090199998000
1771360091000156000,1771360091200370000
1771360091999980000,1771360092199980000
1771360092999980000,1771360093499980000
1771360094001780000,1771360094201780000
1771360094999980000,1771360095199980000
1771360095999981000,1771360096500352000
1771360097000245000,1771360097200250000
1771360097999980000,1771360098199980000
1771360098999980000,1771360099799980000
1771360099999980000,1771360100200011000
1771360100999980000,1771360101199980000
1771360101999980000,1771360102199980000
1771360102999980000,1771360103199980000
1771360103999980000,1771360104199980000
1771360104999980000,1771360105199980000
1771360105999990000,1771360106502615000
1771360107000615000,1771360107200615000
1771360107999980000,1771360108199980000
1771360109000170000,1771360109800170000
1771360109999980000,1771360110199980000
1771360111003247000,1771360111203273000
1771360111999980000,1771360112199980000
1771360112999980000,1771360113529842000
1771360113999980000,1771360114199980000
1771360114999980000,1771360115199980000
1771360115999980000,1771360116199980000
1771360116999980000,1771360117499980000
1771360117999980000,1771360118199980000
1771360118999980000,1771360119799980000
1771360119999980000,1771360120199980000
1771360121000507000,1771360121200507000
1771360121999980000,1771360122199980000
1771360122999980000,1771360123199980000
1771360123999981000,1771360124199981000
1771360124999980000,1771360125199980000
1771360125999980000,1771360126199984000
1771360126999980000,1771360127199980000
1771360127999980000,1771360128199980000
1771360128999980000,1771360129799980000
1771360129999980000,1771360130199980000
1771360130999980000,1771360131499980000
1771360131999980000,1771360132499980000
1771360132999980000,1771360133200008000
1771360133999980000,1771360134199980000
1771360135000043000,1771360135200043000
1771360135999980000,1771360136499980000
1771360136999980000,1771360137199980000
1771360137999980000,1771360138199980000
1771360138999980000,1771360139799980000
1771360139999980000,1771360140799980000
1771360140999980000,1771360141200227000
1771360141999980000,1771360142199980000
1771360142999980000,1771360143199980000
1771360143999980000,1771360144199980000
1771360144999980000,1771360145199980000
1771360145999980000,1771360146199980000
1771360146999980000,1771360147199980000
1771360147999980000,1771360148199980000
1771360148999980000,1771360149799980000
1771360149999980000,1771360150499980000
1771360150999980000,1771360151199980000
1771360151999980000,1771360152199980000
1771360153000271000,1771360153502035000
1771360154000631000,1771360154200631000
1771360154999980000,1771360155199980000
1771360155999980000,1771360156499980000
1771360156999980000,1771360157199980000
1771360157999980000,1771360158199980000
1771360158999980000,1771360159800627000
1771360159999980000,1771360160199980000
1771360160999980000,1771360161199980000
1771360161999980000,1771360162199980000
1771360163000545000,1771360163200545000
1771360163999980000,1771360164200021000
1771360164999980000,1771360165199980000
1771360165999980000,1771360166499980000
1771360166999980000,1771360167199980000
1771360167999980000,1771360168199980000
1771360168999980000,1771360169800800000
1771360169999981000,1771360170199981000
1771360170999980000,1771360171199980000
1771360171999980000,1771360172199980000
1771360172999980000,1771360173499980000
1771360173999980000,1771360174199980000
1771360174999980000,1771360175199980000
